id,part_number,process_type,torque,rotational_speed,tool_wear,failure_type
1,PN0001,B,42.23,1480,20,
2,PN0002,TYPEB,38.74,1600,25,
3,PN0003,C,52.72,1500,20,
4,PN0004,C,45.17,1520,40,
5,PN0005,A,31.87,1480,25,
6,PN0006,A,42.93,1480,40,
7,PN0007,A,38.69,1200,30,
8,PN0008,a ,46.26,1550,40,
9,PN0009,C,38.04,1450,95,
10,PN0010,C,41.43,1450,40,
11,PN0011,A,44.52,1520,40,
12,PN0012,TYPEB,46.33,1600,30,
13,PN0013,a ,36.0,1450,30,
14,PN0014,A,40.33,1500,25,
15,PN0015,A,39.63,1450,20,
16,PN0016,A,38.73,1520,30,
17,PN0017,B,50.83,1450,30,
18,PN0018,B,44.02,1500,25,
19,PN0019,B,35.7,1200,30,
20,PN0020,A,46.59,1600,40,
21,PN0021,C,52.61,1520,30,
22,PN0022,A,47.16,1200,35,Tool Wear Failure
23,PN0023,A,34.4,1200,40,
24,PN0024,B,39.58,1200,95,
25,PN0025,B,48.33,1480,35,
26,PN0026,C,38.46,1600,40,
27,PN0027,A,44.22,1550,95,
28,PN0028,B,45.87,1600,45,
29,PN0029,C,37.37,1480,20,Power Failure
30,PN0030,A,41.7,1550,30,Overstrain Failure
31,PN0031,C,25.79,1600,25,
32,PN0032,A,36.88,1200,20,
33,PN0033,A,40.74,1520,35,
34,PN0034, B,35.76,1550,35,
35,PN0035,TYPEB,50.16,1500,40,
36,PN0036,a ,34.85,1500,20,
37,PN0037,B,39.8,1450,40,
38,PN0038,A,42.65,1550,35,
39,PN0039,C,49.21,1520,35,
40,PN0040,B,34.82,1480,45,
41,PN0041,A,47.82,1200,35,
42,PN0042,B,42.05,1450,25,
43,PN0043,A,37.09,1500,40,
44,PN0044, B,44.31,1480,25,Tool Wear Failure
45,PN0045,A,43.0,1480,20,
46,PN0046,C,39.0,1200,40,Power Failure
47,PN0047,B,42.35,1550,25,
48,PN0048,B,40.07,1500,40,
49,PN0049,B,42.57,1520,25,
50,PN0050,A,45.31,1480,40,
51,PN0051,TYPEB,49.93,1200,25,
52,PN0052,C,35.81,1520,95,
53,PN0053, B,52.67,1550,40,
54,PN0054,a ,32.24,1500,20,Power Failure
55,PN0055,C,41.24,1550,30,Overstrain Failure
56,PN0056, B,44.94,1480,95,
57,PN0057,A,43.4,1520,30,
58,PN0058,A,38.89,1520,20,Tool Wear Failure
59,PN0059,A,40.96,1520,30,Power Failure
