Feature,Importance
marital.status_Married-civ-spouse,0.1615394104719927
capital.gain,0.15803310951601396
education.num,0.09660537502554646
relationship_Husband,0.08092303758747044
marital.status_Never-married,0.06320446916710555
age,0.05519445589240694
hours.per.week,0.04616593917055423
capital.loss,0.03605604982323174
occupation_Exec-managerial,0.02915739050989967
occupation_Prof-specialty,0.02195013911080517
education_Bachelors,0.021516240491573475
relationship_Own-child,0.021327928743009598
relationship_Wife,0.018102771594481204
sex_Male,0.017929539061330935
sex_Female,0.017466006888018703
relationship_Not-in-family,0.016497326479464045
education_Masters,0.015038681924207205
marital.status_Divorced,0.01091469809261516
education_HS-grad,0.010744431931270558
occupation_Other-service,0.009139973054061378
fnlwgt,0.008957042984541854
education_Prof-school,0.00806778011820297
relationship_Unmarried,0.008049192383458935
education_Doctorate,0.006042664920998499
workclass_Self-emp-inc,0.003999215680826767
occupation_Farming-fishing,0.0033632397975149816
workclass_Self-emp-not-inc,0.003109021863603675
education_Some-college,0.002680583955097564
education_7th-8th,0.0025627824101087165
workclass_Federal-gov,0.002402995144744906
education_11th,0.0022659293075505105
workclass_Private,0.0022308062183727983
occupation_Handlers-cleaners,0.0020715024441591194
occupation_Craft-repair,0.001799162288419837
occupation_Machine-op-inspct,0.0017612314330659195
race_White,0.0017042669521219666
education_10th,0.0016571924094298293
race_Black,0.0016448081774386137
native.country_United-States,0.001622396016872095
occupation_Tech-support,0.0015921055042906185
occupation_Adm-clerical,0.0014073563481776569
occupation_Sales,0.0013470593617957857
native.country_Mexico,0.001335799066026262
relationship_Other-relative,0.001199719346150936
occupation_nan,0.0011407750446830506
education_9th,0.001125174765579588
marital.status_Widowed,0.001122090990021957
marital.status_Separated,0.0011057567201846876
occupation_Transport-moving,0.0010688447423158603
workclass_Local-gov,0.0010469767158560771
workclass_nan,0.001041918605445367
workclass_State-gov,0.001023655814946188
race_Asian-Pac-Islander,0.0008274398685742426
education_Assoc-voc,0.000821745009562213
education_5th-6th,0.0006552028514588612
native.country_nan,0.000603118162213695
education_Assoc-acdm,0.0005208920089034735
marital.status_Married-spouse-absent,0.000493456323923806
occupation_Protective-serv,0.00046931458752807965
native.country_India,0.00043569783164827116
marital.status_Married-AF-spouse,0.0004280791586514384
race_Amer-Indian-Eskimo,0.0003918250740873177
native.country_South,0.0003694702158099953
native.country_Germany,0.0003624103328991089
native.country_Italy,0.00035711732523555713
native.country_Philippines,0.00032293746675617817
native.country_England,0.00032193288558977006
native.country_Canada,0.00030457332921048845
race_Other,0.0002807282796683483
native.country_Japan,0.00022104252907654304
native.country_Cuba,0.0001981015733424141
native.country_China,0.00018438350589405564
native.country_Puerto-Rico,0.00016164537604725944
education_12th,0.00015778612713959652
native.country_France,0.00015332761363089835
native.country_Yugoslavia,0.00012456077912693245
native.country_Iran,0.00012368610302657641
native.country_Greece,0.00012220985631866747
native.country_Poland,0.00011415934567146867
native.country_Vietnam,0.00011137313152067293
native.country_Portugal,0.00010572219963816581
native.country_Taiwan,0.00010560518855999565
education_1st-4th,0.00010058558485549361
native.country_Hungary,9.982645395528066e-05
native.country_Dominican-Republic,9.202441568303354e-05
native.country_Jamaica,8.972927362323032e-05
native.country_Cambodia,8.531870118531978e-05
education_Preschool,8.323472675662946e-05
native.country_Ireland,6.780389396950487e-05
native.country_Hong,6.038893313426779e-05
native.country_Columbia,5.944381038362277e-05
native.country_El-Salvador,5.9116420192248686e-05
native.country_Haiti,5.1509294656731724e-05
occupation_Priv-house-serv,4.2187895536250056e-05
native.country_Ecuador,4.208537381407225e-05
native.country_Guatemala,4.086800760988002e-05
native.country_Trinadad&Tobago,3.465537436174354e-05
native.country_Thailand,2.2474841835331505e-05
native.country_Peru,1.8480267001990066e-05
native.country_Nicaragua,1.786470053254166e-05
native.country_Outlying-US(Guam-USVI-etc),9.059461988152606e-06
native.country_Scotland,6.273024215441101e-06
workclass_Without-pay,3.811013180700799e-06
native.country_Laos,3.220302848999113e-06
native.country_Honduras,2.3678625951269103e-06
occupation_Armed-Forces,1.9116973887992087e-06
workclass_Never-worked,1.9256091893744606e-07
